ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182251,2.61,4.67,2.62,46.80,122.00
230823182251,2.62,5.03,2.63,50.60,134.00
230823182251,2.62,4.44,2.62,45.40,118.00
230823182252,2.62,4.72,2.62,43.00,112.00
230823182252,2.62,4.88,2.62,48.20,124.00
230823182252,2.61,4.89,2.62,48.50,128.00
230823182252,2.62,4.82,2.62,49.60,132.00
230823182252,2.62,4.82,2.62,52.30,138.00
230823182252,2.62,5.02,2.62,49.20,128.00
230823182252,2.62,4.58,2.62,45.20,118.00
230823182253,2.62,5.00,2.62,48.70,128.00
230823182253,2.62,4.79,2.62,48.40,128.00
230823182253,2.62,5.18,2.62,53.30,140.00
230823182253,2.62,4.82,2.62,48.40,128.00
230823182253,2.62,4.84,2.62,47.80,124.00
230823182253,2.62,5.03,2.62,50.10,132.00
230823182253,2.62,4.34,2.62,42.40,112.00
230823182253,2.62,4.83,2.62,48.70,128.00
230823182254,2.62,4.97,2.62,49.10,128.00
230823182254,2.62,4.90,2.62,48.90,128.00
230823182254,2.62,4.92,2.62,50.50,134.00
230823182254,2.62,5.06,2.62,50.30,132.00
230823182254,2.62,5.12,2.62,51.70,134.00
230823182254,2.62,4.74,2.62,47.40,124.00
230823182254,2.62,5.01,2.62,47.70,124.00
230823182254,2.62,4.80,2.62,48.90,128.00
230823182255,2.62,5.15,2.62,50.00,124.00
230823182255,2.62,4.81,2.62,48.30,128.00
230823182255,2.62,4.85,2.62,48.10,124.00
230823182255,2.62,5.09,2.63,49.80,128.00
230823182255,2.62,4.48,2.62,45.30,118.00
230823182255,2.62,4.70,2.62,50.10,128.00
230823182255,2.62,4.94,2.62,50.60,132.00
230823182256,2.62,4.80,2.62,47.90,128.00
230823182256,2.62,4.84,2.63,49.60,128.00
230823182256,2.62,5.15,2.62,50.50,134.00
230823182256,2.62,4.44,2.62,46.30,122.00
230823182256,2.62,4.86,2.62,46.90,122.00
230823182256,2.62,5.08,2.62,52.20,138.00
230823182256,2.61,5.39,2.62,54.60,144.00
230823182257,2.62,4.84,2.62,47.40,124.00
230823182257,2.62,5.16,2.62,52.20,132.00
230823182257,2.62,5.34,2.62,53.30,140.00
230823182257,2.62,4.30,2.62,44.10,114.00
230823182257,2.62,4.79,2.62,48.20,124.00
230823182257,2.61,5.31,2.61,50.80,134.00
230823182257,2.61,5.00,2.62,52.00,138.00
230823182257,2.62,4.87,2.62,48.80,132.00
230823182258,2.62,5.32,2.62,52.50,138.00
230823182258,2.62,5.00,2.62,49.40,128.00
230823182258,2.62,4.78,2.62,49.30,128.00
230823182258,2.62,5.23,2.62,52.70,138.00
230823182258,2.62,4.80,2.62,48.60,128.00
230823182258,2.62,4.97,2.62,47.10,124.00
230823182258,2.62,5.09,2.63,52.00,138.00
230823182259,2.61,4.82,2.62,49.90,128.00
230823182259,2.62,4.79,2.62,48.90,118.00
230823182259,2.62,4.85,2.62,48.70,124.00
230823182259,2.62,5.14,2.62,51.70,134.00
230823182259,2.62,4.93,2.62,51.20,134.00
230823182259,2.62,4.95,2.62,48.60,128.00
230823182259,2.62,5.02,2.62,55.20,144.00
230823182259,2.62,4.81,2.62,51.10,128.00
230823182300,2.62,5.22,2.62,50.50,132.00
230823182300,2.62,4.96,2.62,49.30,128.00
230823182300,2.62,4.80,2.63,48.30,128.00
230823182300,2.62,5.21,2.62,48.60,128.00
230823182300,2.61,5.14,2.62,51.30,134.00
230823182300,2.62,4.79,2.62,50.40,132.00
230823182300,2.62,4.87,2.62,47.90,124.00
230823182301,2.62,4.79,2.62,48.70,128.00
230823182301,2.62,4.82,2.62,52.00,138.00
230823182301,2.62,4.91,2.62,47.90,124.00
230823182301,2.62,5.14,2.62,50.50,132.00
230823182301,2.62,4.91,2.62,50.40,132.00
230823182301,2.62,5.04,2.63,49.30,128.00
230823182301,2.62,4.73,2.62,47.40,124.00
230823182301,2.62,4.84,2.62,48.50,128.00
230823182302,2.62,5.05,2.63,49.20,128.00
230823182302,2.62,5.29,2.63,52.40,138.00
230823182302,2.61,5.28,2.62,52.00,138.00
230823182302,2.62,5.02,2.62,49.30,128.00
230823182302,2.62,5.34,2.62,53.60,134.00
230823182302,2.62,4.87,2.62,48.60,128.00
230823182302,2.62,4.86,2.62,49.60,132.00
230823182303,2.61,5.39,2.62,51.90,138.00
230823182303,2.62,5.03,2.62,51.40,138.00
230823182303,2.62,4.99,2.62,48.60,128.00
230823182303,2.62,5.12,2.62,52.00,138.00
230823182303,2.62,4.96,2.62,50.60,132.00
230823182303,2.62,5.43,2.62,53.10,140.00
230823182303,2.62,5.20,2.62,52.40,138.00
230823182303,2.61,4.97,2.61,50.40,128.00
230823182304,2.62,5.23,2.63,52.60,138.00
230823182304,2.62,5.16,2.62,51.30,134.00
230823182304,2.62,5.34,2.62,50.00,132.00
230823182304,2.62,5.06,2.63,52.00,134.00
230823182304,2.62,4.87,2.62,47.50,124.00
230823182304,2.62,5.36,2.62,51.60,134.00
230823182304,2.62,5.09,2.63,52.10,138.00
230823182305,2.62,5.18,2.62,51.90,134.00
230823182305,2.62,5.43,2.62,51.20,134.00
230823182305,2.62,5.17,2.62,52.80,138.00
230823182305,2.62,4.79,2.62,48.80,128.00
230823182305,2.62,5.22,2.62,49.20,128.00
230823182305,2.62,5.40,2.62,50.60,132.00
230823182305,2.62,5.27,2.63,54.10,144.00
230823182305,2.62,5.10,2.62,48.80,128.00
230823182306,2.62,5.51,2.62,52.90,138.00
230823182306,2.62,5.31,2.62,51.80,134.00
230823182306,2.62,4.48,2.62,47.70,124.00
230823182306,2.62,5.08,2.62,51.20,132.00
230823182306,2.62,5.27,2.62,55.50,138.00
230823182306,2.62,5.11,2.62,52.00,132.00
230823182306,2.62,5.04,2.62,51.70,134.00
